"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Equity","HDFC Flexi Cap Fund","101763","HDFC Flexi Cap Fund - Regular Plan - IDCW Option","25 Nov, 2025","81.9470"
"Equity","HDFC Flexi Cap Fund","118954","HDFC Flexi Cap Fund - Direct Plan - IDCW Option","25 Nov, 2025","98.8460"
"Equity","HDFC Flexi Cap Fund","101762","HDFC Flexi Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","2,067.2850"
"Equity","HDFC Flexi Cap Fund","118955","HDFC Flexi Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","2,265.4920"
"Equity","HDFC Large and Mid Cap Fund","130497","HDFC Large and Mid Cap Fund - Regular Plan - IDCW  Reinvestment Option","25 Nov, 2025","38.2980"
"Equity","HDFC Large and Mid Cap Fund","130499","HDFC Large and Mid Cap Fund  - Direct Plan - IDCW Reinvestment Option","25 Nov, 2025","50.1740"
"Equity","HDFC Large and Mid Cap Fund","130496","HDFC Large and Mid Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","347.9760"
"Equity","HDFC Large and Mid Cap Fund","130498","HDFC Large and Mid Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","366.9260"
"Equity","HDFC Mid Cap Fund","105757","HDFC Mid Cap Fund - IDCW Option","25 Nov, 2025","55.9620"
"Equity","HDFC Mid Cap Fund","118988","HDFC Mid Cap Fund - Direct Plan - IDCW Option","25 Nov, 2025","84.5980"
"Equity","HDFC Mid Cap Fund","105758","HDFC Mid Cap Fund - Growth Option","25 Nov, 2025","203.0780"
"Equity","HDFC Mid Cap Fund","118989","HDFC Mid Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","224.1460"
"Equity","HDFC Small Cap Fund","130501","HDFC Small Cap Fund - Regular Plan - IDCW Option","25 Nov, 2025","45.0260"
"Equity","HDFC Small Cap Fund","130504","HDFC Small Cap Fund - Direct Plan - IDCW Option","25 Nov, 2025","69.0540"
"Equity","HDFC Small Cap Fund","130502","HDFC Small Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","140.1810"
"Equity","HDFC Small Cap Fund","130503","HDFC Small Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","159.8670"
"Equity","HDFC Infrastructure Fund","107525","HDFC Infrastructure Fund - IDCW","25 Nov, 2025","20.4920"
"Equity","HDFC Infrastructure Fund","118978","HDFC Infrastructure Fund - Direct Plan - IDCW","25 Nov, 2025","32.4280"
"Equity","HDFC Infrastructure Fund","107524","HDFC Infrastructure Fund - Growth","25 Nov, 2025","47.7830"
"Equity","HDFC Infrastructure Fund","118979","HDFC Infrastructure Fund - Direct Plan - Growth Option","25 Nov, 2025","52.9910"
"Equity","HDFC Housing Opportunities Fund","141922","HDFC Housing Opportunities Fund - Regular Option - IDCW Option","25 Nov, 2025","16.0570"
"Equity","HDFC Housing Opportunities Fund","141921","HDFC Housing Opportunities Fund - Direct Option - IDCW Option","25 Nov, 2025","17.8120"
"Equity","HDFC Housing Opportunities Fund","141923","HDFC Housing Opportunities Fund - Regular Option - Growth Option","25 Nov, 2025","22.3980"
"Equity","HDFC Housing Opportunities Fund","141924","HDFC Housing Opportunities Fund -  Direct Option - Growth Option","25 Nov, 2025","24.2910"
"Equity","HDFC Large Cap Fund","102001","HDFC Top 100 Fund - Regular Plan - IDCW Option","25 Nov, 2025","58.9460"
"Equity","HDFC Large Cap Fund","119017","HDFC Top 100 Fund - Direct Plan - IDCW Option","25 Nov, 2025","69.5660"
"Equity","HDFC Large Cap Fund","102000","HDFC Top 100 Fund - Regular Plan - Growth Option","25 Nov, 2025","1,167.6750"
"Equity","HDFC Large Cap Fund","119018","HDFC Top 100 Fund - Direct Plan - Growth Option","25 Nov, 2025","1,265.5970"
"Equity","HDFC Value Fund","101765","HDFC Value Fund - Regular Plan - IDCW Option","25 Nov, 2025","35.7680"
"Equity","HDFC Value Fund","118934","HDFC Value Fund - Direct Plan - IDCW Option","25 Nov, 2025","44.5110"
"Equity","HDFC Value Fund","101764","HDFC Value Fund - Regular Plan - Growth Option","25 Nov, 2025","768.1100"
"Equity","HDFC Value Fund","118935","HDFC Value Fund - Direct Plan - Growth Option","25 Nov, 2025","860.4520"
"Equity","HDFC Focused Fund","102761","HDFC Focused Fund - Regular Plan - IDCW Option","25 Nov, 2025","26.4970"
"Equity","HDFC Focused Fund","118949","HDFC Focused Fund - Direct Plan - IDCW Option","25 Nov, 2025","34.5270"
"Equity","HDFC Focused Fund","102760","HDFC Focused Fund - Regular Plan - Growth Option","25 Nov, 2025","238.6520"
"Equity","HDFC Focused Fund","118950","HDFC Focused Fund - Direct Plan - Growth Option","25 Nov, 2025","271.5830"
"Equity","HDFC Growth Opportunities Fund","130497","HDFC Growth Opportunities Fund - IDCW Option","25 Jun, 2021","21.9770"
"Equity","HDFC Growth Opportunities Fund","130499","HDFC Growth Opportunities Fund - IDCW Option - Direct Plan","25 Jun, 2021","26.7140"
"Equity","HDFC Growth Opportunities Fund","130496","HDFC Growth Opportunities Fund - Growth Option","25 Jun, 2021","164.8900"
"Equity","HDFC Growth Opportunities Fund","130498","HDFC Growth Opportunities Fund - Growth Option - Direct Plan","25 Jun, 2021","167.8990"
"Equity","HDFC Dividend Yield Fund","148611","HDFC Dividend Yield Fund - Regular Plan - IDCW Option","25 Nov, 2025","21.6150"
"Equity","HDFC Dividend Yield Fund","148608","HDFC Dividend Yield Fund - Direct Plan - IDCW Option","25 Nov, 2025","23.4120"
"Equity","HDFC Dividend Yield Fund","148610","HDFC Dividend Yield Fund - Regular Plan - Growth Option","25 Nov, 2025","25.2000"
"Equity","HDFC Dividend Yield Fund","148609","HDFC Dividend Yield Fund - Direct Plan - Growth Option","25 Nov, 2025","27.0080"
"Equity","HDFC Banking & Financial Services Fund","148984","HDFC Banking and Financial Services Fund Regular IDCW","25 Nov, 2025","15.7050"
"Equity","HDFC Banking & Financial Services Fund","148985","HDFC Banking and Financial Services Fund Direct IDCW","25 Nov, 2025","16.8490"
"Equity","HDFC Banking & Financial Services Fund","148987","HDFC Banking and Financial Services Fund Regular Growth","25 Nov, 2025","17.8920"
"Equity","HDFC Banking & Financial Services Fund","148986","HDFC Banking and Financial Services Fund Direct Growth","25 Nov, 2025","19.0640"
"Equity","HDFC Multi Cap Fund","149365","HDFC Multi Cap Fund - Regular Plan - IDCW Option","25 Nov, 2025","18.2190"
"Equity","HDFC Multi Cap Fund","149367","HDFC Multi Cap Fund - IDCW Option - Direct Plan","25 Nov, 2025","19.2270"
"Equity","HDFC Multi Cap Fund","149366","HDFC Multi Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","19.2260"
"Equity","HDFC Multi Cap Fund","149368","HDFC Multi Cap Fund - Direct Plan - Growth Option ","25 Nov, 2025","20.1650"
"Equity","HDFC Business Cycle Fund","150806","HDFC Business Cycle Fund - IDCW Option","25 Nov, 2025","14.7260"
"Equity","HDFC Business Cycle Fund","150804","HDFC Business Cycle Fund - IDCW Option - Direct Plan","25 Nov, 2025","15.2900"
"Equity","HDFC Business Cycle Fund","150803","HDFC Business Cycle Fund - Growth Option","25 Nov, 2025","14.7260"
"Equity","HDFC Business Cycle Fund","150805","HDFC Business Cycle Fund - Growth Option - Direct Plan","25 Nov, 2025","15.2900"
"Equity","HDFC MNC Fund","151459","HDFC MNC Fund - IDCW Option","25 Nov, 2025","13.3460"
"Equity","HDFC MNC Fund","151460","HDFC MNC Fund - IDCW Option","25 Nov, 2025","13.7850"
"Equity","HDFC MNC Fund","151457","HDFC MNC Fund - Growth Option","25 Nov, 2025","13.3460"
"Equity","HDFC MNC Fund","151458","HDFC MNC Fund - Direct Plan","25 Nov, 2025","13.7850"
"Equity","HDFC Defence Fund","151748","HDFC Defence Fund - IDCW Option","25 Nov, 2025","23.7590"
"Equity","HDFC Defence Fund","151749","HDFC Defence Fund - IDCW Option - Direct Plan","25 Nov, 2025","24.4460"
"Equity","HDFC Defence Fund","151751","HDFC Defence Fund - Growth Option","25 Nov, 2025","23.7590"
"Equity","HDFC Defence Fund","151750","HDFC Defence Fund - Growth Option","25 Nov, 2025","24.4460"
"Equity","HDFC Non-Cyclical Consumer Fund","151802","HDFC Non-Cyclical Consumer Fund - IDCW Option","25 Nov, 2025","14.2840"
"Equity","HDFC Non-Cyclical Consumer Fund","151805","HDFC Non-Cyclical Consumer Fund - IDCW Option - Direct Plan","25 Nov, 2025","14.7030"
"Equity","HDFC Non-Cyclical Consumer Fund","151803","HDFC Non-Cyclical Consumer Fund - Growth Option","25 Nov, 2025","14.2840"
"Equity","HDFC Non-Cyclical Consumer Fund","151804","HDFC Non-Cyclical Consumer Fund - Growth Option - Direct Plan","25 Nov, 2025","14.7030"
"Equity","HDFC Transportation and Logistics Fund","151902","HDFC Transportation and Logistics Fund - IDCW Option","25 Nov, 2025","18.1040"
"Equity","HDFC Transportation and Logistics Fund","151899","HDFC Transportation and Logistics Fund - IDCW Option - Direct Plan","25 Nov, 2025","18.6060"
"Equity","HDFC Transportation and Logistics Fund","151900","HDFC Transportation and Logistics Fund - Growth Option","25 Nov, 2025","18.1040"
"Equity","HDFC Transportation and Logistics Fund","151901","HDFC Transportation and Logistics Fund - Growth Option - Direct Plan","25 Nov, 2025","18.6060"
"Equity","HDFC Technology Fund","152057","HDFC Technology Fund - IDCW Option","25 Nov, 2025","13.6900"
"Equity","HDFC Technology Fund","152060","HDFC Technology Fund - IDCW Option - Direct plan","25 Nov, 2025","14.0600"
"Equity","HDFC Technology Fund","152058","HDFC Technology Fund - Growth Option","25 Nov, 2025","13.6900"
"Equity","HDFC Technology Fund","152059","HDFC Technology Fund - Growth Option - Direct Plan","25 Nov, 2025","14.0600"
"Equity","HDFC Pharma and Healthcare Fund","152083","HDFC Pharma and Healthcare Fund Regular IDCW Option","25 Nov, 2025","17.3600"
"Equity","HDFC Pharma and Healthcare Fund","152081","HDFC Pharma and Healthcare Fund Direct IDCW Option","25 Nov, 2025","17.8170"
"Equity","HDFC Pharma and Healthcare Fund","152084","HDFC Pharma and Healthcare Fund Regular Growth","25 Nov, 2025","17.3600"
"Equity","HDFC Pharma and Healthcare Fund","152082"," HDFC Pharma and Healthcare Fund Direct Growth","25 Nov, 2025","17.8170"
"Equity","HDFC Manufacturing Fund ","152601","HDFC Manufacturing fund - Regular Plan - IDCW Option","25 Nov, 2025","10.9800"
"Equity","HDFC Manufacturing Fund ","152603","HDFC Manufacturing fund - Direct Plan - IDCW Option","25 Nov, 2025","11.1760"
"Equity","HDFC Manufacturing Fund ","152602","HDFC Manufacturing fund - Regular Plan - Growth Option","25 Nov, 2025","10.9800"
"Equity","HDFC Manufacturing Fund ","152600","HDFC Manufacturing fund - Direct Plan - Growth Option","25 Nov, 2025","11.1760"
"Equity","HDFC Innovation Fund","153647","HDFC Innovation Fund Regular IDCW Option","25 Nov, 2025","10.2780"
"Equity","HDFC Innovation Fund","153643","HDFC Innovation Fund Direct IDCW Option","25 Nov, 2025","10.3250"
"Equity","HDFC Innovation Fund","153619","HDFC Innovation Fund Regular Growth","25 Nov, 2025","10.2780"
"Equity","HDFC Innovation Fund","153620","HDFC Innovation Fund Direct Growth","25 Nov, 2025","10.3250"
"Debt","HDFC Income Fund","100123","HDFC Income Fund - Regular Plan - Quarterly IDCW Option","25 Nov, 2025","11.4429"
"Debt","HDFC Income Fund","119068","HDFC Income Fund - Direct Plan - Quarterly IDCW Option","25 Nov, 2025","12.8302"
"Debt","HDFC Income Fund","100124","HDFC Income Fund - Regular Plan - Growth Option","25 Nov, 2025","58.8437"
"Debt","HDFC Income Fund","119069","HDFC Income Fund - Direct Plan - Growth Option","25 Nov, 2025","65.2454"
"Debt","HDFC Income Fund","133366","HDFC Income Fund - Regular Plan - Normal IDCW Option","25 Nov, 2025","18.5570"
"Debt","HDFC Income Fund","133365","HDFC Income Fund - Direct Plan - Normal IDCW Option","25 Nov, 2025","20.6334"
"Debt","HDFC Banking and PSU Debt Fund","128627","HDFC Banking and PSU Debt Fund - Regular Plan - IDCW Option","25 Nov, 2025","10.1681"
"Debt","HDFC Banking and PSU Debt Fund","128626","HDFC Banking and PSU Debt Fund - Direct Plan - IDCW Option","25 Nov, 2025","10.0338"
"Debt","HDFC Banking and PSU Debt Fund","128628","HDFC Banking and PSU Debt Fund - Regular Plan - Growth Option","25 Nov, 2025","23.6161"
"Debt","HDFC Banking and PSU Debt Fund","128629","HDFC Banking and PSU Debt Fund - Direct Plan - Growth Option","25 Nov, 2025","24.6283"
"Debt","HDFC Liquid Fund","100875","HDFC Liquid Fund - Regular Plan - Daily IDCW Reinvestment Option","25 Nov, 2025","1,019.8200"
"Debt","HDFC Liquid Fund","119089","HDFC Liquid Fund - Direct Plan - Daily IDCW Reinvestment Option","25 Nov, 2025","1,019.8200"
"Debt","HDFC Liquid Fund","100874","HDFC Liquid Fund - Regular Plan - Weekly IDCW Option","25 Nov, 2025","1,031.2060"
"Debt","HDFC Liquid Fund","119088","HDFC Liquid Fund - Direct Plan - Weekly IDCW Option","25 Nov, 2025","1,031.2083"
"Debt","HDFC Liquid Fund","100876","HDFC Liquid Fund - Regular Plan - Monthly IDCW Option","25 Nov, 2025","1,026.4759"
"Debt","HDFC Liquid Fund","119090","HDFC Liquid Fund - Direct Plan - Monthly IDCW Option","25 Nov, 2025","1,026.4781"
"Debt","HDFC Liquid Fund","100868","HDFC Liquid Fund - Regular Plan - Growth Option","25 Nov, 2025","5,241.7371"
"Debt","HDFC Liquid Fund","119091","HDFC Liquid Fund - Direct Plan - Growth Option","25 Nov, 2025","5,300.4496"
"Debt","HDFC Dynamic Debt Fund","101874","HDFC Dynamic Debt Fund - Half Yearly IDCW Option","25 Nov, 2025","11.6842"
"Debt","HDFC Dynamic Debt Fund","119072","HDFC Dynamic Debt Fund - Direct Plan - Half Yearly IDCW","25 Nov, 2025","13.6908"
"Debt","HDFC Dynamic Debt Fund","101873","HDFC Dynamic Debt Fund - Quarterly IDCW Option","25 Nov, 2025","12.6074"
"Debt","HDFC Dynamic Debt Fund","119073","HDFC Dynamic Debt Fund - Direct Plan - Quarterly IDCW","25 Nov, 2025","14.0912"
"Debt","HDFC Dynamic Debt Fund","101875","HDFC Dynamic Debt Fund - Yearly IDCW Option","25 Nov, 2025","13.7709"
"Debt","HDFC Dynamic Debt Fund","119074","HDFC Dynamic Debt Fund - Direct Plan - Yearly IDCW","25 Nov, 2025","15.3564"
"Debt","HDFC Dynamic Debt Fund","101872","HDFC Dynamic Debt Fund - Growth Option","25 Nov, 2025","90.1320"
"Debt","HDFC Dynamic Debt Fund","119075","HDFC Dynamic Debt Fund - Direct Plan - Growth Option","25 Nov, 2025","99.7771"
"Debt","HDFC Dynamic Debt Fund","133370","HDFC Dynamic Debt Fund - Normal IDCW Option","25 Nov, 2025","19.3096"
"Debt","HDFC Dynamic Debt Fund","133369","HDFC Dynamic Debt Fund - Direct Plan - Normal IDCW","25 Nov, 2025","21.0087"
"Debt","HDFC Medium Term Debt Fund","101990","HDFC Medium Term Debt Fund - Fortnightly IDCW Option","25 Nov, 2025","10.1274"
"Debt","HDFC Medium Term Debt Fund","119080","HDFC Medium Term Debt Fund - Fortnightly IDCW Opt - Direct Plan","25 Nov, 2025","10.1301"
"Debt","HDFC Medium Term Debt Fund","101989","HDFC Medium Term Debt Fund - Growth Option","25 Nov, 2025","57.8179"
"Debt","HDFC Medium Term Debt Fund","119081","HDFC Medium Term Debt Fund - Growth Option - Direct Plan","25 Nov, 2025","62.9123"
"Debt","HDFC Medium Term Debt Fund","132852","HDFC Medium Term Debt Fund - IDCW Option","25 Nov, 2025","19.5111"
"Debt","HDFC Medium Term Debt Fund","132853","HDFC Medium Term Debt Fund - IDCW Option - Direct Plan","25 Nov, 2025","21.0214"
"Debt","HDFC Low Duration Fund","105548","HDFC Low Duration  Fund - Regular Plan- Daily IDCW Reinvestment Option","25 Nov, 2025","10.1428"
"Debt","HDFC Low Duration Fund","118945","HDFC Low Duration  Fund - Direct Plan - Daily IDCW Reinvestment Option","25 Nov, 2025","10.0655"
"Debt","HDFC Low Duration Fund","102453","HDFC Low Duration  Fund - Regular Plan - Weekly IDCW Option","25 Nov, 2025","10.0770"
"Debt","HDFC Low Duration Fund","118944","HDFC Low Duration  Fund - Direct Plan - Weekly IDCW Option","25 Nov, 2025","10.0625"
"Debt","HDFC Low Duration Fund","105543","HDFC Low Duration  Fund - Regular Plan - Monthly IDCW Option","25 Nov, 2025","10.1424"
"Debt","HDFC Low Duration Fund","118943","HDFC Low Duration  Fund - Direct Plan - Monthly IDCW Option","25 Nov, 2025","10.1450"
"Debt","HDFC Low Duration Fund","102452","HDFC Low Duration  Fund - Regular Plan - Growth Option","25 Nov, 2025","59.2537"
"Debt","HDFC Low Duration Fund","118942","HDFC Low Duration  Fund - Direct Plan - Growth Option","25 Nov, 2025","64.4155"
"Debt","HDFC Money Market Fund","101994","HDFC Money Market Fund -Regular Plan - Daily IDCW Reinvestment Option","25 Nov, 2025","1,063.6400"
"Debt","HDFC Money Market Fund","119093","HDFC Money Market Fund - Direct Plan - Daily IDCW Reinvestment Option","25 Nov, 2025","1,063.6400"
"Debt","HDFC Money Market Fund","101995","HDFC Money Market Fund - Regular Plan - Weekly IDCW Option","25 Nov, 2025","1,062.6902"
"Debt","HDFC Money Market Fund","119094","HDFC Money Market Fund -Direct Plan - Weekly IDCW Option","25 Nov, 2025","1,062.6955"
"Debt","HDFC Money Market Fund","101993","HDFC Money Market Fund - Regular Plan - Growth Option","25 Nov, 2025","5,868.6757"
"Debt","HDFC Money Market Fund","119092","HDFC Money Market Fund - Direct Plan - Growth Option","25 Nov, 2025","5,989.3488"
"Debt","HDFC Corporate Bond Fund","113071","HDFC Corporate Bond Fund - Regular Plan - Quarterly IDCW Option","25 Nov, 2025","10.6110"
"Debt","HDFC Corporate Bond Fund","118986","HDFC Corporate Bond Fund - Direct Plan - Quarterly IDCW Option","25 Nov, 2025","10.5109"
"Debt","HDFC Corporate Bond Fund","113070","HDFC Corporate Bond Fund - Regular Plan - Growth Option","25 Nov, 2025","33.3911"
"Debt","HDFC Corporate Bond Fund","118987","HDFC Corporate Bond Fund - Direct Plan - Growth Option ","25 Nov, 2025","34.1549"
"Debt","HDFC Corporate Bond Fund","132848","HDFC Corporate Bond Fund - Regular Plan - IDCW Option","25 Nov, 2025","20.2139"
"Debt","HDFC Corporate Bond Fund","132849","HDFC Corporate Bond Fund - Direct Plan - IDCW Option ","25 Nov, 2025","20.9277"
"Debt","HDFC Short Term Debt Fund","113048","HDFC Short Term Debt Fund - IDCW","25 Nov, 2025","10.2240"
"Debt","HDFC Short Term Debt Fund","119015","HDFC Short Term Debt Fund - Direct Plan - IDCW","25 Nov, 2025","10.3319"
"Debt","HDFC Short Term Debt Fund","113047","HDFC Short Term Debt Fund - Growth","25 Nov, 2025","32.9307"
"Debt","HDFC Short Term Debt Fund","119016","HDFC Short Term Debt Fund - Direct Plan - Growth Option","25 Nov, 2025","34.0315"
"Debt","HDFC Short Term Debt Fund","133368","HDFC Short Term Debt Fund - Normal IDCW","25 Nov, 2025","19.5688"
"Debt","HDFC Short Term Debt Fund","133367","HDFC Short Term Debt Fund - Direct Plan - Normal IDCW","25 Nov, 2025","20.1634"
"Debt","HDFC Credit Risk Debt Fund","128052","HDFC Credit Risk Debt Fund - Quarterly IDCW Option","25 Nov, 2025","10.4897"
"Debt","HDFC Credit Risk Debt Fund","128050","HDFC Credit Risk Debt Fund - Quarterly IDCW - Direct Plan","25 Nov, 2025","10.8396"
"Debt","HDFC Credit Risk Debt Fund","128053","HDFC Credit Risk Debt Fund - Growth Option","25 Nov, 2025","24.7833"
"Debt","HDFC Credit Risk Debt Fund","128051","HDFC Credit Risk Debt Fund - Growth Option - Direct Plan","25 Nov, 2025","26.8405"
"Debt","HDFC Credit Risk Debt Fund","133148","HDFC Credit Risk Debt Fund - IDCW Option","25 Nov, 2025","22.8212"
"Debt","HDFC Credit Risk Debt Fund","133147","HDFC Credit Risk Debt Fund - IDCW Option - Direct Plan","25 Nov, 2025","23.5285"
"Debt","HDFC Gilt Fund","101084","HDFC Gilt Fund - IDCW Plan","25 Nov, 2025","12.1615"
"Debt","HDFC Gilt Fund","119115","HDFC Gilt Fund - IDCW Option - Direct Plan","25 Nov, 2025","12.9970"
"Debt","HDFC Gilt Fund","101083","HDFC Gilt Fund - Growth Plan","25 Nov, 2025","55.8208"
"Debt","HDFC Gilt Fund","119116","HDFC Gilt Fund - Growth Option - Direct Plan","25 Nov, 2025","58.8618"
"Debt","HDFC Floating Rate Debt Fund","118959","HDFC Floating Rate  Debt Fund - Direct Plan - Daily IDCW","25 Nov, 2025","10.0809"
"Debt","HDFC Floating Rate Debt Fund","118962","HDFC Floating Rate  Debt Fund - Direct Plan - Weekly IDCW","25 Nov, 2025","10.0428"
"Debt","HDFC Floating Rate Debt Fund","118960","HDFC Floating Rate  Debt Fund - Direct Plan - Monthly IDCW","25 Nov, 2025","10.1470"
"Debt","HDFC Floating Rate Debt Fund","118961","HDFC Floating Rate  Debt Fund - Direct Plan - Growth Option","25 Nov, 2025","52.4786"
"Debt","HDFC Floating Rate Debt Fund","106838","HDFC Floating Rate  Debt Fund - Wholesale Daily IDCW Option","25 Nov, 2025","10.0809"
"Debt","HDFC Floating Rate Debt Fund","106840","HDFC Floating Rate  Debt Fund - Wholesale Weekly IDCW Option","25 Nov, 2025","10.0428"
"Debt","HDFC Floating Rate Debt Fund","106839","HDFC Floating Rate  Debt Fund - Wholesale Monthly IDCW Option","25 Nov, 2025","10.1469"
"Debt","HDFC Floating Rate Debt Fund","106841","HDFC Floating Rate  Debt Fund - Wholesale Growth Option","25 Nov, 2025","51.3982"
"Debt","HDFC Overnight Fund","101997","HDFC Overnight Fund - IDCW Option (Daily)","25 Nov, 2025","1,042.6600"
"Debt","HDFC Overnight Fund","119109","HDFC Overnight Fund - IDCW Option - Direct Plan","25 Nov, 2025","1,042.6600"
"Debt","HDFC Overnight Fund","101996","HDFC Overnight Fund - Growth Option","25 Nov, 2025","3,884.2122"
"Debt","HDFC Overnight Fund","119110","HDFC Overnight Fund - Growth Option - Direct Plan","25 Nov, 2025","3,923.2084"
"Debt","HDFC Ultra Short Term Fund","145041","HDFC Ultra Short Term Fund-Daily IDCW Option","25 Nov, 2025","10.1030"
"Debt","HDFC Ultra Short Term Fund","145039","HDFC Ultra Short Term Fund-Direct Plan-Daily IDCW Option","25 Nov, 2025","10.0920"
"Debt","HDFC Ultra Short Term Fund","145038","HDFC Ultra Short Term Fund-Weekly IDCW Option","25 Nov, 2025","10.0519"
"Debt","HDFC Ultra Short Term Fund","145035","HDFC Ultra Short Term Fund-Direct Plan-Weekly IDCW Option","25 Nov, 2025","10.0519"
"Debt","HDFC Ultra Short Term Fund","145037","HDFC Ultra Short Term Fund-Monthly IDCW Option","25 Nov, 2025","10.1519"
"Debt","HDFC Ultra Short Term Fund","145036","HDFC Ultra Short Term Fund-Direct Plan-Monthly IDCW Option","25 Nov, 2025","10.0519"
"Debt","HDFC Ultra Short Term Fund","145040","HDFC Ultra Short Term Fund-Growth Option","25 Nov, 2025","15.5359"
"Debt","HDFC Ultra Short Term Fund","145034","HDFC Ultra Short Term Fund-Direct Plan-Growth Option","25 Nov, 2025","15.8930"
"Debt","HDFC Long Duration Debt Fund ","151311","HDFC Long Duration Debt Fund Regular IDCW","25 Nov, 2025","10.6008"
