"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Close Ended","HDFC FMP 371D November 2013 (1)","125322","HDFC FMP 371D November 2013 (1) Series 28 - Direct - Flexi","08 Nov, 2016","12.8243"
"Close Ended","HDFC FMP 371D November 2013 (1)","125323","HDFC FMP 371D November 2013 (1) Series 28 - Direct - Growth","22 Feb, 2016","12.0943"
"Close Ended","HDFC FMP 371D November 2013 (1)","125324","HDFC FMP 371D November 2013 (1) Series 28 - Direct - Quarterly IDCW","08 Nov, 2016","10.0778"
"Close Ended","HDFC FMP 371D November 2013 (1)","125325","HDFC FMP 371D November 2013 (1) Series 28 - Regular - IDCW","22 Feb, 2016","11.0804"
"Close Ended","HDFC FMP 371D November 2013 (1)","125327","HDFC FMP 371D November 2013 (1) Series 28 - Regular - Growth","08 Nov, 2016","12.7924"
"Close Ended","HDFC FMP 370D September 2013 (4)","124511","HDFC FMP 370D September 2013 (4)-Direct Option-IDCW Option","19 Nov, 2013","10.0000"
"Close Ended","HDFC FMP 370D September 2013 (4)","124513","HDFC FMP 370D September 2013 (4)-Regular Option-Flexi Option","19 Nov, 2013","10.0000"
"Close Ended","HDFC FMP 370D September 2013 (4)","124514","HDFC FMP 370D September 2013 (4)-Direct Option-Flexi Option","16 Sep, 2014","10.9997"
"Close Ended","HDFC FMP 370D September 2013 (4)","124516","HDFC FMP 370D September 2013 (4)-Direct Option-Quarterly IDCW Option","16 Sep, 2014","10.2141"
"Close Ended","HDFC FMP 370D September 2013 (4)","124518","HDFC FMP 370D September 2013 (4)-Regular Option-Quarterly IDCW Option","16 Sep, 2014","10.2116"
"Close Ended","HDFC FMP 370D September 2013 (4)","124512","HDFC FMP 370D September 2013 (4) Series 28 - Regular - Normal IDCW","23 Feb, 2016","11.3253"
"Close Ended","HDFC FMP 370D September 2013 (4)","124515","HDFC FMP 370D September 2013 (4) Series 28 - Direct - Growth","20 Oct, 2016","13.1676"
"Close Ended","HDFC FMP 370D September 2013 (4)","124517","HDFC FMP 370D September 2013 (4) Series 28 - Regular - Growth","23 Feb, 2016","12.4712"
"Close Ended","HDFC FMP 405D April 2013 (1)","122332","HDFC FMP 405D April 2013 (1)-Regular Option-Growth Option","23 May, 2014","10.9270"
"Close Ended","HDFC FMP 405D April 2013 (1)","122333","HDFC FMP 405D April 2013 (1)-Regular Option-Flexi Option","15 Jan, 2014","10.5855"
"Close Ended","HDFC FMP 405D April 2013 (1)","122334","HDFC FMP 405D April 2013 (1)-Direct Option-Growth Option","23 May, 2014","10.9329"
"Close Ended","HDFC FMP 405D April 2013 (1)","122335","HDFC FMP 405D April 2013 (1)-Direct Option-Flexi Option","15 Jan, 2014","10.5894"
"Close Ended","HDFC FMP 405D April 2013 (1)","122336","HDFC FMP 405D April 2013 (1)-Regular Option-IDCW Option","23 May, 2014","10.9270"
"Close Ended","HDFC FMP 405D April 2013 (1)","122337","HDFC FMP 405D April 2013 (1)-Direct Option-Quarterly IDCW Option","15 Jan, 2014","10.0512"
"Close Ended","HDFC FMP 405D April 2013 (1)","122338","HDFC FMP 405D April 2013 (1)-Regular Option-Quarterly IDCW Option","23 May, 2014","10.1458"
"Close Ended","HDFC FMP 405D April 2013 (1)","122339","HDFC FMP 405D April 2013 (1)-Direct Option-IDCW Option","15 Jan, 2014","10.5894"
"Close Ended","HDFC FMP 36M JUNE 2007","106029","HDFC FMP 36M JUNE 2007 - RETAIL PLAN GROWTH OPTION","11 Feb, 2010","12.8202"
"Close Ended","HDFC FMP 36M JUNE 2007","106030","HDFC FMP 36M JUNE 2007 - RETAIL PLAN QUATERLY IDCW OPTION","25 Jun, 2010","10.8222"
"Close Ended","HDFC FMP 36M JUNE 2007","106032","HDFC FMP 36M JUNE 2007 - WHOLESALE PLAN QUATERLY IDCW OPTION","11 Feb, 2010","10.8202"
"Close Ended","HDFC FMP 36M JUNE 2007","106033","HDFC FMP 36M JUNE 2007 - RETAIL PLAN NORMAL IDCW OPTION","25 Jun, 2010","13.1228"
"Close Ended","HDFC FMP 36M JUNE 2007","106034","HDFC FMP 36M JUNE 2007 - WHOLESALE PLAN GROWTH OPTION","11 Feb, 2010","12.9542"
"Close Ended","HDFC FMP 13M MARCH 2008","107811","HDFC FMP 13M MARCH 2008 RETAIL PLAN - GROWTH OPTION","09 Apr, 2009","11.0394"
"Close Ended","HDFC FMP 13M MARCH 2008","107812","HDFC FMP 13M MARCH 2008 RETAIL PLAN - NORMAL IDCW OPTION","01 Jan, 2009","10.7834"
"Close Ended","HDFC FMP 13M MARCH 2008","107813","HDFC FMP 13M MARCH 2008 WHOLESALE PLAN - GROWTH OPTION","09 Apr, 2009","11.0740"
"Close Ended","HDFC FMP 13M MARCH 2008","107815","HDFC FMP 13M MARCH 2008 RETAIL PLAN - QUARTERLY IDCW OPTION","01 Jan, 2009","10.0153"
"Close Ended","HDFC FMP 566D December 2012 (1)","118182","HDFC FMP 566D December 2012 (1) IDCW Option","07 May, 2014","11.2625"
"Close Ended","HDFC FMP 566D December 2012 (1)","118183","HDFC FMP 566D December 2012 (1) Growth Option","22 May, 2014","11.2995"
"Close Ended","HDFC FMP 566D December 2012 (1)","118184","HDFC FMP 566D December 2012 (1) Quarterly IDCW Option","07 May, 2014","10.1599"
"Close Ended","HDFC FMP 566D December 2012 (1)","118185","HDFC FMP 566D December 2012 (1) Flexi Option","22 May, 2014","11.2995"
"Close Ended","HDFC FMP 526D December 2012 (1)","118248","HDFC FMP 526D December 2012 (1) Growth Option","07 May, 2014","11.2432"
"Close Ended","HDFC FMP 526D December 2012 (1)","118249","HDFC FMP 526D December 2012 (1) IDCW Option","22 May, 2014","11.2773"
"Close Ended","HDFC FMP 526D December 2012 (1)","118250","HDFC FMP 526D December 2012 (1) Quarterly IDCW Option","07 May, 2014","10.2706"
"Close Ended","HDFC FMP 526D December 2012 (1)","118251","HDFC FMP 526D December 2012 (1) Flexi Option","22 May, 2014","11.2773"
"Close Ended","HDFC FMP 367D AUGUST 2007","106279","HDFC FMP 367D AUGUST 2007 - RETAIL PLAN GROWTH OPTION","13 Jun, 2008","10.6862"
"Close Ended","HDFC FMP 367D AUGUST 2007","106280","HDFC FMP 367D AUGUST 2007 - RETAIL PLAN NORMAL IDCW OPTION","01 Jan, 2008","10.2900"
"Close Ended","HDFC FMP 367D AUGUST 2007","106281","HDFC FMP 367D AUGUST 2007 - RETAIL PLAN QUATERLY IDCW OPTION","13 Jun, 2008","10.2538"
"Close Ended","HDFC FMP 367D AUGUST 2007","106283","HDFC FMP 367D AUGUST 2007 - WHOLESALE PLAN GROWTH OPTION","01 Jan, 2008","10.3100"
"Close Ended","HDFC FMP 367D AUGUST 2007","106284","HDFC FMP 367D AUGUST 2007 - WHOLESALE PLAN NORMAL IDCW OPTION","13 Jun, 2008","10.7169"
"Close Ended","HDFC FMP 371D December 2012 (1)","118626","HDFC FMP 371D December 2012 (1) IDCW Option","01 Jan, 2014","10.8254"
"Close Ended","HDFC FMP 371D December 2012 (1)","118627","HDFC FMP 371D December 2012 (1) Quarterly IDCW Option","15 Jan, 2014","10.0000"
"Close Ended","HDFC FMP 371D December 2012 (1)","118628","HDFC FMP 371D December 2012 (1) Growth Option","01 Jan, 2014","10.8254"
"Close Ended","HDFC FMP 371D December 2012 (1)","118629","HDFC FMP 371D December 2012 (1) Flexi Option","15 Jan, 2014","10.8649"
"Close Ended","HDFC FMP 370D August 2010 (1)","113157","HDFC FMP 370D August 2010 (1) - Growth Option","18 Aug, 2011","10.7371"
"Close Ended","HDFC FMP 370D August 2010 (1)","113158","HDFC FMP 370D August 2010 (1) - IDCW Option","03 Jan, 2011","10.1795"
"Close Ended","HDFC FMP 370D August 2010 (1)","113159","HDFC FMP 370D August 2010 (1) - Quarterly IDCW Option","18 Aug, 2011","10.1211"
"Close Ended","HDFC FMP 371D August 2012 (1)","117782","HDFC FMP 373D August 2012 (1) Growth Option","02 Apr, 2013","10.5632"
"Close Ended","HDFC FMP 371D August 2012 (1)","117783","HDFC FMP 373D August 2012 (1) Dividend Option","22 Jul, 2013","10.8173"
"Close Ended","HDFC FMP 371D August 2012 (1)","117784","HDFC FMP 373D August 2012 (1) Quarterly Dividend Option","02 Apr, 2013","10.0326"
"Close Ended","HDFC FMP 371D August 2012 (1)","117829","HDFC FMP 371D August 2012 (1) Quarterly IDCW Option","22 Jul, 2013","10.0396"
"Close Ended","HDFC FMP 371D August 2012 (1)","117830","HDFC FMP 371D August 2012 (1) Growth Option","02 Apr, 2013","10.5313"
"Close Ended","HDFC FMP 371D August 2012 (1)","117831","HDFC FMP 371D August 2012 (1) IDCW Option","22 Jul, 2013","10.7819"
"Close Ended","HDFC FMP 370D December 2011 (3)","116336","HDFC FMP 370D December 2011 (3) Growth Option","01 Jan, 2013","10.9680"
"Close Ended","HDFC FMP 370D December 2011 (3)","116337","HDFC FMP 370D December 2011 (3) IDCW Option","01 Jan, 2013","10.0000"
"Close Ended","HDFC FMP 370D December 2011 (3)","116338","HDFC FMP 370D December 2011 (3) Quarterly IDCW Option","01 Jan, 2013","10.0000"
"Close Ended","HDFC FMP 92D August 2011 (1)","115670","HDFC FMP 92D August 2011 (1) - IDCW Option","27 Sep, 2011","10.0889"
"Close Ended","HDFC FMP 92D August 2011 (1)","115671","HDFC FMP 92D August 2011 (1) - Growth Option","16 Nov, 2011","10.2113"
"Close Ended","HDFC FMP 370D December 2012 (2)","118252","HDFC FMP 370D December 2012 (2) Growth Option","22 Jul, 2013","10.4595"
"Close Ended","HDFC FMP 370D December 2012 (2)","118253","HDFC FMP 370D December 2012 (2) IDCW Option","10 Sep, 2013","10.5567"
"Close Ended","HDFC FMP 370D December 2012 (2)","118254","HDFC FMP 370D December 2012 (2) Quarterly IDCW Option","22 Jul, 2013","10.0114"
"Close Ended","HDFC FMP 370D December 2012 (2)","118255","HDFC FMP 370D December 2012 (2) Flexi Option","10 Sep, 2013","10.5567"
"Close Ended","HDFC FMP 370D December 2011 (2)","116321","HDFC FMP 370D December 2011 (2) - Growth Option","08 Oct, 2012","10.7927"
"Close Ended","HDFC FMP 370D December 2011 (2)","116322","HDFC FMP 370D December 2011 (2) - IDCW Option","05 Mar, 2012","10.1162"
"Close Ended","HDFC FMP 370D December 2011 (2)","116323","HDFC FMP 370D December 2011 (2) - Quarterly IDCW Option","08 Oct, 2012","10.0509"
"Close Ended","HDFC FMP 16M DECEMBER 2006","104657","HDFC FMP 16M DECEMBER 2006 RETAIL PLAN Growth Option","08 Apr, 2008","11.0792"
"Close Ended","HDFC FMP 16M DECEMBER 2006","104658","HDFC FMP 16M DECEMBER 2006 RETAIL PLAN IDCW Option","01 Jan, 2008","10.8400"
"Close Ended","HDFC FMP 16M DECEMBER 2006","104659","HDFC FMP 16M DECEMBER 2006 RETAIL PLAN Quarterly IDCW Option","08 Apr, 2008","10.2399"
"Close Ended","HDFC FMP 16M DECEMBER 2006","104660","HDFC FMP 16M DECEMBER 2006 WHOLESALE PLAN Growth Option","02 Jan, 2008","10.8900"
"Close Ended","HDFC FMP 16M DECEMBER 2006","104662","HDFC FMP 16M DECEMBER 2006 WHOLESALE PLAN Quarterly IDCW Option","08 Apr, 2008","10.2415"
"Close Ended","HDFC FMP 370D December 2012 (1)","118212","HDFC FMP 370D December 2012 (1) Growth Option","22 Jul, 2013","10.4735"
"Close Ended","HDFC FMP 370D December 2012 (1)","118213","HDFC FMP 370D December 2012 (1) IDCW Option","10 Sep, 2013","10.5741"
"Close Ended","HDFC FMP 370D December 2012 (1)","118214","HDFC FMP 370D December 2012 (1) Quarterly IDCW Option","22 Jul, 2013","10.0114"
"Close Ended","HDFC FMP 370D December 2012 (1)","118215","HDFC FMP 370D December 2012 (1) Flexi Option","10 Sep, 2013","10.5741"
"Close Ended","HDFC FMP 370D December 2011 (1)","116266","HDFC FMP 370D December 2011 (1) - Growth Option","12 Dec, 2012","10.9475"
"Close Ended","HDFC FMP 370D December 2011 (1)","116267","HDFC FMP 370D December 2011 (1) - Quarterly IDCW Option","01 Feb, 2012","10.0914"
"Close Ended","HDFC FMP 370D December 2011 (1)","116268","HDFC FMP 370D December 2011 (1) - IDCW Option","12 Dec, 2012","10.9475"
"Close Ended","HDFC FMP 18M DECEMBER 2007","107263","HDFC FMP 18M DECEMBER 2007 WHOLESALE PLAN - GROWTH OPTION","03 Jun, 2009","11.3577"
"Close Ended","HDFC FMP 18M DECEMBER 2007","107265","HDFC FMP 18M DECEMBER 2007 RETAIL PLAN - GROWTH OPTION","18 May, 2009","11.2255"
"Close Ended","HDFC FMP 18M DECEMBER 2007","107266","HDFC FMP 18M DECEMBER 2007 RETAIL PLAN - NORMAL IDCW OPTION","03 Jun, 2009","11.2603"
"Close Ended","HDFC FMP 18M DECEMBER 2007","107267","HDFC FMP 18M DECEMBER 2007 RETAIL PLAN - QUARTERLY IDCW OPTION","18 May, 2009","10.3091"
"Close Ended","HDFC FMP 369D December 2012 (1)","118256","HDFC FMP 369D December 2012 (1) Growth Option","22 Jul, 2013","10.4414"
"Close Ended","HDFC FMP 369D December 2012 (1)","118257","HDFC FMP 369D December 2012 (1) IDCW Option","10 Sep, 2013","10.5376"
"Close Ended","HDFC FMP 369D December 2012 (1)","118258","HDFC FMP 369D December 2012 (1) Flexi Option","22 Jul, 2013","10.4414"
"Close Ended","HDFC FMP 369D December 2012 (1)","118259","HDFC FMP 369D December 2012 (1) Quarterly IDCW Option","06 Sep, 2013","10.0886"
"Close Ended","HDFC FMP 462D January 2013 (1)","120138","HDFC FMP 462D January 2013 (1) Direct Plan Flexi Option","15 Jan, 2014","10.8823"
"Close Ended","HDFC FMP 462D January 2013 (1)","120139","HDFC FMP 462D January 2013 (1) Direct Plan IDCW Option","15 Apr, 2014","10.0000"
"Close Ended","HDFC FMP 462D January 2013 (1)","120140","HDFC FMP 462D January 2013 (1) Direct Plan Growth Option","15 Jan, 2014","10.8823"
"Close Ended","HDFC FMP 462D January 2013 (1)","120141","HDFC FMP 462D January 2013 (1) Direct Plan Quarterly IDCW Option","15 Apr, 2014","10.0000"
"Close Ended","HDFC FMP 462D January 2013 (1)","120142","HDFC FMP 462D January 2013 (1) IDCW Option","15 Jan, 2014","10.8823"
"Close Ended","HDFC FMP 462D January 2013 (1)","120144","HDFC FMP 462D January 2013 (1) Growth Option","15 Apr, 2014","11.1020"
"Close Ended","HDFC FMP 462D January 2013 (1)","120145","HDFC FMP 462D January 2013 (1) Quarterly IDCW Option","15 Jan, 2014","10.0492"
"Close Ended","HDFC FMP 371D July 2012 (3)","117678","HDFC FMP 371D July 2012 (3) Quarterly IDCW Option","22 Jul, 2013","10.0474"
"Close Ended","HDFC FMP 371D July 2012 (3)","117679","HDFC FMP 371D July 2012 (3) Growth Option","02 Apr, 2013","10.5699"
"Close Ended","HDFC FMP 371D July 2012 (3)","117680","HDFC FMP 371D July 2012 (3) IDCW Option","22 Jul, 2013","10.8301"
"Close Ended","HDFC FMP 91D August 2018 (1)","144812","HDFC FMP 91D August 2018 (1) - IDCW Option","04 Dec, 2018","10.0000"
"Close Ended","HDFC FMP 91D August 2018 (1)","144808","HDFC FMP 91D August 2018 (1) - Direct Plan - IDCW Option","04 Dec, 2018","10.0000"
"Close Ended","HDFC FMP 91D August 2018 (1)","144813","HDFC FMP 91D August 2018 (1) - Growth Option","04 Dec, 2018","10.1804"
"Close Ended","HDFC FMP 91D August 2018 (1)","144810","HDFC FMP 91D August 2018 (1) - Direct Plan - Growth Option","04 Dec, 2018","10.1830"
"Close Ended","HDFC FMP 1861D March 2022","149925","HDFC FMP 1861D March 2022 - Regular Option - Normal IDCW Option  ","25 Nov, 2025","12.6887"
"Close Ended","HDFC FMP 1861D March 2022","149926","HDFC FMP 1861D March 2022 - Direct Option - Normal IDCW Option  ","25 Nov, 2025","12.7672"
"Close Ended","HDFC FMP 1861D March 2022","149927","HDFC FMP 1861D March 2022 - Regular Option - Quarterly IDCW Option","25 Nov, 2025","10.1155"
"Close Ended","HDFC FMP 1861D March 2022","149923","HDFC FMP 1861D March 2022 - Direct Option - Quarterly IDCW Option","25 Nov, 2025","10.1187"
"Close Ended","HDFC FMP 1861D March 2022","149922","HDFC FMP 1861D March 2022 - Regular Option - Growth Option ","25 Nov, 2025","12.6887"
"Close Ended","HDFC FMP 1861D March 2022","149924","HDFC FMP 1861D March 2022 - Direct Option - Growth Option ","25 Nov, 2025","12.7672"
"Close Ended","HDFC FMP 1162D March 2022","149930","HDFC FMP 1162D March 2022 - Regular Option - Normal IDCW Option","19 May, 2025","10.0000"
"Close Ended","HDFC FMP 1162D March 2022","149931","HDFC FMP 1162D March 2022 - Direct Option - Normal IDCW Option  ","19 May, 2025","10.0000"
"Close Ended","HDFC FMP 1162D March 2022","149932","HDFC FMP 1162D March 2022 - Regular Option - Quarterly IDCW Option","19 May, 2025","10.0000"
"Close Ended","HDFC FMP 1162D March 2022","149933","HDFC FMP 1162D March 2022 - Direct Option - Quarterly IDCW Option  ","19 May, 2025","10.0000"
"Close Ended","HDFC FMP 1162D March 2022","149929","HDFC FMP 1162D March 2022 - Regular Option - Growth Option ","19 May, 2025","11.9891"
"Close Ended","HDFC FMP 1162D March 2022","149934","HDFC FMP 1162D March 2022 - Direct Option - Growth Option","19 May, 2025","12.0456"
"Close Ended","HDFC FMP 1876D March 2022","150004","HDFC FMP 1876D March 2022  - Regular Option - Normal IDCW Payout Option  ","25 Nov, 2025","12.6658"
"Close Ended","HDFC FMP 1876D March 2022","150003","HDFC FMP 1876D March 2022  - Direct Option - Normal IDCW Payout Option  ","25 Nov, 2025","12.7349"
"Close Ended","HDFC FMP 1876D March 2022","150005","HDFC FMP 1876D March 2022  - Regular Option - Quarterly IDCW Payout Option   ","25 Nov, 2025","10.1181"
"Close Ended","HDFC FMP 1876D March 2022","150006","HDFC FMP 1876D March 2022  - Direct Option - Quarterly IDCW Payout Option  ","25 Nov, 2025","10.1207"
"Close Ended","HDFC FMP 1876D March 2022","150001","HDFC FMP 1876D March 2022  - Regular Option - Growth Option ","25 Nov, 2025","12.6658"
"Close Ended","HDFC FMP 1876D March 2022","150002","HDFC FMP 1876D March 2022 - Direct Option - Growth Option ","25 Nov, 2025","12.7349"
"Close Ended","HDFC FMP 1158D July 2022","150398","HDFC FMP 1158D July 2022  - Regular Option - Normal IDCW Payout Option  ","25 Sep, 2025","10.0000"
"Close Ended","HDFC FMP 1158D July 2022","150400","HDFC FMP 1158D July 2022 - Direct Option - Normal IDCW Payout Option","25 Sep, 2025","10.0000"
"Close Ended","HDFC FMP 1158D July 2022","150399","HDFC FMP 1158D July 2022  - Regular Option - Quarterly IDCW Payout Option   ","25 Sep, 2025","10.0000"
"Close Ended","HDFC FMP 1158D July 2022","150397","HDFC FMP 1158D July 2022  - Direct Option - Quarterly IDCW Payout Option  ","25 Sep, 2025","10.0000"
"Close Ended","HDFC FMP 1158D July 2022","150396","HDFC FMP 1158D July 2022  - Regular Option - Growth Option ","25 Sep, 2025","12.3088"
"Close Ended","HDFC FMP 1158D July 2022","150395","HDFC FMP 1158D July 2022 - Direct Option - Growth Option ","25 Sep, 2025","12.4151"
"Close Ended","HDFC FMP 1406D August 2022","150550","HDFC FMP 1406D August 2022 - IDCW Option","25 Nov, 2025","12.4677"
"Close Ended","HDFC FMP 1406D August 2022","150548","HDFC FMP 1406D August 2022 - IDCW Option - Direct Plan","25 Nov, 2025","12.5738"
"Close Ended","HDFC FMP 1406D August 2022","150551","HDFC FMP 1406D August 2022 - Quarterly IDCW Option","25 Nov, 2025","10.1049"
"Close Ended","HDFC FMP 1406D August 2022","150549","HDFC FMP 1406D August 2022 - Quarterly IDCW Option - Direct Plan","25 Nov, 2025","10.1099"
"Close Ended","HDFC FMP 1406D August 2022","150546","HDFC FMP 1406D August 2022 - Growth Option","25 Nov, 2025","12.4677"
"Close Ended","HDFC FMP 1406D August 2022","150547","HDFC FMP 1406D August 2022 - Growth Option - Direct Plan","25 Nov, 2025","12.5738"
"Close Ended","HDFC FMP 1359D September 2022","150652","HDFC FMP 1359D September 2022 - Regular Option - Normal IDCW Payout Option  ","25 Nov, 2025","12.4925"
"Close Ended","HDFC FMP 1359D September 2022","150653","HDFC FMP 1359D September 2022 - Direct Option - Normal IDCW Payout Option","25 Nov, 2025","12.5912"
"Close Ended","HDFC FMP 1359D September 2022","150656","HDFC FMP 1359D September 2022 - Regular Option - Quarterly IDCW Payout Option   ","25 Nov, 2025","10.1602"
"Close Ended","HDFC FMP 1359D September 2022","150654","HDFC FMP 1359D September 2022 - Direct Option - Quarterly IDCW Payout Option ","25 Nov, 2025","10.1649"
"Close Ended","HDFC FMP 1359D September 2022","150651","HDFC FMP 1359D September 2022   - Regular Option - Growth Option ","25 Nov, 2025","12.4925"
"Close Ended","HDFC FMP 1359D September 2022","150655","HDFC FMP 1359D September 2022 - Direct Option - Growth Option ","25 Nov, 2025","12.5912"
"Close Ended","HDFC FMP 1204D December 2022","151220","HDFC FMP 1204D December 2022 - IDCW Option","25 Nov, 2025","12.1915"
"Close Ended","HDFC FMP 1204D December 2022","151221","HDFC FMP 1204D December 2022 - IDCW Option - Direct Plan","25 Nov, 2025","12.2805"
"Close Ended","HDFC FMP 1204D December 2022","151222","HDFC FMP 1204D December 2022 - Quarterly IDCW Option","25 Nov, 2025","10.5068"
"Close Ended","HDFC FMP 1204D December 2022","151223","HDFC FMP 1204D December 2022 - Quarterly IDCW Option - Direct Plan","25 Nov, 2025","10.5119"
"Close Ended","HDFC FMP 1204D December 2022","151224","HDFC FMP 1204D December 2022 - Growth Option","25 Nov, 2025","12.1915"
"Close Ended","HDFC FMP 1204D December 2022","151225","HDFC FMP 1204D December 2022 - Growth Option - Direct Plan","25 Nov, 2025","12.2804"
"Close Ended","HDFC FMP 2638D February 2023","151468","HDFC FMP 2638D February 2023 - IDCW Option","25 Nov, 2025","12.7034"
"Close Ended","HDFC FMP 2638D February 2023","151467","HDFC FMP 2638D February 2023 - Quarterly IDCW Option","25 Nov, 2025","10.3495"
"Close Ended","HDFC FMP 2638D February 2023","151469","HDFC FMP 2638D February 2023 - Quarterly IDCW Option - Direct Plan","25 Nov, 2025","10.3541"
"Close Ended","HDFC FMP 2638D February 2023","151465","HDFC FMP 2638D February 2023 - Growth Option","25 Nov, 2025","12.7034"
"Close Ended","HDFC FMP 2638D February 2023","151470","HDFC FMP 2638D February 2023 - Growth Option - Direct Plan","25 Nov, 2025","12.7923"
"Close Ended","HDFC FMP 1269D March 2023","151566","HDFC FMP 1269D March 2023 - IDCW Option","25 Nov, 2025","12.0957"
"Close Ended","HDFC FMP 1269D March 2023","151567","HDFC FMP 1269D March 2023 - IDCW Option - Direct Plan","25 Nov, 2025","12.1772"
"Close Ended","HDFC FMP 1269D March 2023","151568","HDFC FMP 1269D March 2023 - Quarterly IDCW Option","25 Nov, 2025","10.1852"
"Close Ended","HDFC FMP 1269D March 2023","151569","HDFC FMP 1269D March 2023 - Quarterly IDCW Option - Direct Plan","25 Nov, 2025","10.1901"
"Close Ended","HDFC FMP 1269D March 2023","151564","HDFC FMP 1269D March 2023 - Growth Option","25 Nov, 2025","12.0957"
"Close Ended","HDFC FMP 1269D March 2023","151565","HDFC FMP 1269D March 2023 - Growth Option - Direct Plan","25 Nov, 2025","12.1772"
"Close Ended","HDFC Charity Fund for Cancer Cure (A Fixed Maturity Plan)","151865","	HDFC Charity Fund for Cancer Cure - IDCW Option - 50% IDCW Donation Option","25 Nov, 2025","10.1139"
"Close Ended","HDFC Charity Fund for Cancer Cure (A Fixed Maturity Plan)","151862","HDFC Charity Fund for Cancer Cure - IDCW Option - Direct Plan - 50% IDCW Donation Option","25 Nov, 2025","10.1139"
"Close Ended","HDFC Charity Fund for Cancer Cure (A Fixed Maturity Plan)","151863","HDFC Charity Fund for Cancer Cure - IDCW Option - 75% IDCW Donation Option","25 Nov, 2025","10.1139"
"Close Ended","HDFC Charity Fund for Cancer Cure (A Fixed Maturity Plan)","151864","HDFC Charity Fund for Cancer Cure - IDCW Option - Direct Plan - 75% IDCW Donation Option","25 Nov, 2025","10.1139"